	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
80008	TOP {0} to {1}	TOP {0} to {1}	TOP {0} to {1}	MELHORES de {0} a {1}	TOP {0} to {1}	LOS MEJORES del {0} al {1}	TOP {0} à {1}	TOP {0} von {1}	TOP {0} to {1}	TOP {0} to {1}		
80009	Tournament: Three days left	Tournament: Three days left	Tournament: Three days left	Torneio: Três dias restantes	Tournament: Three days left	Torneo: Quedan tres días	Tournoi : trois jours restants	Turnier: Drei Tage übrig	Tournament: Three days left	Tournament: Three days left		
80010	Tournament: One day left	Tournament: One day left	Tournament: One day left	Torneio: Um dia restante	Tournament: One day left	Torneo: Queda un día	Tournoi : un jours restant	Turnier: Ein Tag übrig	Tournament: One day left	Tournament: One day left		
80011	Tournament: Three hours left	Tournament: Three hours left	Tournament: Three hours left	Torneio: Restam três horas	Tournament: Three hours left	Torneo: Quedan tres horas	Tournoi : trois heures restantes	Turnier: Drei Stunden übrig	Tournament: Three hours left	Tournament: Three hours left		
80012	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!	Se agregó una nueva canción navideña. ¡Disfruta!	Nouvelles chansons de Noël ajoutées. Bonne écoute !	Neue Weihnachtslieder hinzugefügt. Viel Spaß!	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!	New & Free Christmas charts are added \nEnjoy it & the Christmas tournament!		
80013	CHRISTMAS\n<size=30>TOURNAMENT</size>	CHRISTMAS\n<size=30>TOURNAMENT</size>	CHRISTMAS\n<size=30>TOURNAMENT</size>	CHRISTMAS\n<size=30>TOURNAMENT</size>	CHRISTMAS\n<size=30>TOURNAMENT</size>	TORNEO \n<size=30>NAVIDEÑO</size>	\n<size=30>TOURNOI</size> de NOËL	WEIHNACHTS-\n<size=30>TURNIER</size>	CHRISTMAS\n<size=30>TOURNAMENT</size>	CHRISTMAS\n<size=30>TOURNAMENT</size>		
80014	Playing Christmas charts will double your tournament score \nGet it now!!	Playing Christmas charts will double your tournament score \nGet it now!!	Playing Christmas charts will double your tournament score \nGet it now!!	Jogar gráficos de Natal irá dobrar a sua pontuação no torneio \nObtenha agora!	Playing Christmas charts will double your tournament score \nGet it now!!	Las tablas de navidad te dan el doble de puntuación \n¡¡Ve por ellas ya!!	Doublez votre score de tournoi avec le classement de Noël \nObtenez-le dès maintenant !!	Wenn du die Weihnachts-Charts spielst, verdoppelst du deine Turnierpunktzahl \n Hol sie dir jetzt!!	Playing Christmas charts will double your tournament score \nGet it now!!	Playing Christmas charts will double your tournament score \nGet it now!!		
80015	Christmas Tournament is a weekly tournament \nIn all modes, when you play any chart, the score will be updated to your Tournament Score \nWhen the time ends, you will receive valuable reward base on your tournament rank \nPlaying Christmas charts will double your tournament score 	Christmas Tournament is a weekly tournament \nIn all modes, when you play any chart, the score will be updated to your Tournament Score \nWhen the time ends, you will receive valuable reward base on your tournament rank \nPlaying Christmas charts will double your tournament score 	Christmas Tournament is a weekly tournament \nIn all modes, when you play any chart, the score will be updated to your Tournament Score \nWhen the time ends, you will receive valuable reward base on your tournament rank \nPlaying Christmas charts will double your tournament score 	O Torneio de Natal é um torneio semanal \nEm todos os modos, quando você joga qualquer gráfico, a pontuação será atualizada na sua Pontuação do Torneio \nQuando o tempo acabar, você receberá recompensas valiosas com base na sua posição no torneio. \nJogar gráficos de Natal irá dobrar a sua pontuação no torneio.	Christmas Tournament is a weekly tournament \nIn all modes, when you play any chart, the score will be updated to your Tournament Score \nWhen the time ends, you will receive valuable reward base on your tournament rank \nPlaying Christmas charts will double your tournament score 	El torneo navideño es un torneo semanal \nEn todos los modos, cuando juegas en cualquiera de las tablas, la puntuación se actualizará con tu puntuación del torneo \nAl terminarse el tiempo, recibirás una valiosa recompensa en la base de tu clasificación en el torneo \nLas tablas de navidad te dan el doble de puntuación en el torneo	Le tournoi de Noël a lieu chaque semaine \nDans tous les modes, quel que soit le classement que vous choisissez, le score est ajouté à votre score de tournoi \nLorsque le temps est écoulé, vous recevez une belle récompense basée sur votre rang au tournoi \nLe classement de Noël double votre score de tournoi	Das Weihnachtsturnier ist ein wöchentliches Tunier \nWenn du in beliebigen Modi beliebige Charts spielst, wird deine Turnierpunktzahl aktualisiert \nAm Ende erhältst du tolle Belohnungen basierend auf deinem Platz \nSpiele Weihnachts-Charts und verdopple deine Turnierpunktzahl	Christmas Tournament is a weekly tournament \nIn all modes, when you play any chart, the score will be updated to your Tournament Score \nWhen the time ends, you will receive valuable reward base on your tournament rank \nPlaying Christmas charts will double your tournament score 	Christmas Tournament is a weekly tournament \nIn all modes, when you play any chart, the score will be updated to your Tournament Score \nWhen the time ends, you will receive valuable reward base on your tournament rank \nPlaying Christmas charts will double your tournament score 		
80016	Average	Average	Average	Média	Average	Average	Average	Average	Average	Average		
80017	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 	GRÁFICOS ESPECIAIS DE EVENTO 	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 	SPECIAL CHARTS FOR EVENT 		
80018	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE	Jogue para adquirir x2 SCORE	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE	PLAY TO GET x2 SCORE		
80019	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Apenas disponível em Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch		
80020	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament	Updated to Christmas Tournament		
80021	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK	NO RECORD LAST WEEK		
//Special Offer												
90000	BEST OFFER!	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch	Only available in Deathmatch		
90001	Special Offer	Special Offer	Special Offer	Special Offer	Special Offer	Special Offer	Special Offer	Special Offer	Special Offer	Special Offer		
90002	Try It	Try It	Try It	Try It	Try It	Try It	Try It	Try It	Try It	Try It		
90003	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED	TIMED LIMITED		
90004	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT	DISCOUNT		
90005	END IN	END IN	END IN	END IN	END IN	END IN	END IN	END IN	END IN	END IN		
90006	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF	<size=18>50%</size>\nOFF		
90007	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES	DAILY RUBIES		
90008	BUY	BUY	BUY	BUY	BUY	BUY	BUY	BUY	BUY	BUY		
90009	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN	DAILY CHECK-IN		
90010	OFFER	OFFER	OFFER	OFFER	OFFER	OFFER	OFFER	OFFER	OFFER	OFFER		
90011	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS	GET VIP PASS		
90012	&	&	&	&	&	&	&	&	&	&		
90013	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER	SPECIAL\nOFFER		
90014	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer	You have received a reward from Special Offer		
90015	You will get a portion of Ruby from this pack daily: Immediately get 200 Rubies when purchase, and 200 Rubies daily in the next 4 days \n Your VIP PASS will be enable in the 5th day \n. If you do not login, the reward will still be delivered in your every next login, until the items are fully delivered. 	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 3 days \n On 4th day login, you will get the VIP PASS \n If you won't login, the reward still delivered in the next login		
90016	You will get a chart pack immediately and 1 other chart packs every next day in next 4 following days \n If you do not login, the reward will still be delivered in every next login. 	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get a chart pack immediately and another one on each day in next 4 days \n If you won't login, the reward still delivered in the next login		
90017	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login	You will get 200 Rubies immediately and 200 Rubies each day in next 4 days \n If you won't login, the reward still delivered in the next login		
